2026-04-15 16:06:54,765 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:06:54,765 | WARNING | aiogram.dispatcher | Sleep for 5.032321 seconds and try again... (tryings = 7, bot id = 8696591670)
2026-04-15 16:06:59,900 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:06:59,900 | WARNING | aiogram.dispatcher | Sleep for 5.034211 seconds and try again... (tryings = 7, bot id = 8696591670)
2026-04-15 16:07:05,036 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:07:05,036 | WARNING | aiogram.dispatcher | Sleep for 4.928580 seconds and try again... (tryings = 8, bot id = 8696591670)
2026-04-15 16:07:10,077 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:07:10,077 | WARNING | aiogram.dispatcher | Sleep for 4.890670 seconds and try again... (tryings = 8, bot id = 8696591670)
2026-04-15 16:07:15,076 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:07:15,076 | WARNING | aiogram.dispatcher | Sleep for 4.880643 seconds and try again... (tryings = 9, bot id = 8696591670)
2026-04-15 16:07:20,065 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:07:20,065 | WARNING | aiogram.dispatcher | Sleep for 5.079087 seconds and try again... (tryings = 9, bot id = 8696591670)
2026-04-15 16:07:25,245 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:07:25,245 | WARNING | aiogram.dispatcher | Sleep for 5.056252 seconds and try again... (tryings = 10, bot id = 8696591670)
2026-04-15 16:07:30,405 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:07:30,405 | WARNING | aiogram.dispatcher | Sleep for 4.926991 seconds and try again... (tryings = 10, bot id = 8696591670)
2026-04-15 16:07:35,442 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:07:35,443 | WARNING | aiogram.dispatcher | Sleep for 4.927133 seconds and try again... (tryings = 11, bot id = 8696591670)
2026-04-15 16:07:40,473 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:07:40,473 | WARNING | aiogram.dispatcher | Sleep for 4.915583 seconds and try again... (tryings = 11, bot id = 8696591670)
2026-04-15 16:07:45,495 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:07:45,495 | WARNING | aiogram.dispatcher | Sleep for 4.999089 seconds and try again... (tryings = 12, bot id = 8696591670)
2026-04-15 16:07:50,597 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:07:50,598 | WARNING | aiogram.dispatcher | Sleep for 5.103169 seconds and try again... (tryings = 12, bot id = 8696591670)
2026-04-15 16:07:55,807 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:07:55,807 | WARNING | aiogram.dispatcher | Sleep for 5.172471 seconds and try again... (tryings = 13, bot id = 8696591670)
